material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Bagasse Fiber,6,13,6,73,2.49,0.5
Paper Foam,7,3,6,97,2.66,0.51
Mycelium Packaging,8,4,7,79,2.71,0.55
Recycled PET,5,3,5,93,3.29,1.04
PLA Bioplastic,8,4,6,88,4.78,0.75
Cornstarch Packaging,5,6,6,62,3.57,0.52
Mycelium Packaging,9,14,7,69,2.58,0.48
Corrugated Board,6,3,6,79,2.8,0.64
Bagasse Fiber,9,3,9,61,3.15,1.04
Honeycomb Paperboard,9,16,5,86,3.87,0.69
Biodegradable Plastic,8,6,9,91,3.32,0.53
Bagasse Fiber,6,7,8,69,3.18,0.72
PLA Bioplastic,5,13,5,99,3.69,0.84
PLA Bioplastic,5,15,8,76,2.73,0.42
Cornstarch Packaging,7,18,6,92,2.24,0.9
Corrugated Board,5,15,7,65,2.07,0.72
Paper Foam,8,4,9,98,2.75,0.41
Cornstarch Packaging,9,18,8,77,2.27,0.94
Cornstarch Packaging,9,8,6,68,3.01,0.97
Biodegradable Plastic,9,16,9,67,4.32,0.9
Recycled Paper Wrap,6,3,9,84,4.15,0.67
Corrugated Board,5,19,8,90,3.83,0.82
Molded Pulp,8,13,6,63,4.56,0.71
Cornstarch Packaging,6,5,7,79,2.85,0.96
Seaweed Packaging,7,13,8,87,4.66,0.87
Bamboo Fiber Packaging,8,7,9,99,3.2,0.47
Recycled Paper Wrap,8,19,9,60,3.2,0.91
Molded Pulp,8,9,5,99,3.22,0.95
Seaweed Packaging,9,12,6,82,2.29,0.7
Corrugated Board,8,13,5,72,4.93,1.1
Recycled Cardboard,5,5,7,75,2.42,1.07
Seaweed Packaging,8,12,8,85,3.02,0.54
Honeycomb Paperboard,9,12,9,90,2.96,1.12
Recycled Paper Wrap,8,16,6,60,2.22,0.75
Mycelium Packaging,7,14,9,76,2.46,0.98
Seaweed Packaging,7,17,5,75,2.13,1.05
Kraft Paper,9,12,5,96,2.88,0.8
Recycled Cardboard,5,12,8,69,4.6,0.72
PLA Bioplastic,5,3,6,97,3.02,1.13
PLA Bioplastic,6,12,6,90,2.37,0.58
Recycled PET,9,4,8,69,3.94,0.61
Honeycomb Paperboard,8,19,5,93,4.99,0.69
Seaweed Packaging,9,9,5,65,2.7,1.09
Seaweed Packaging,6,9,5,87,2.84,1.15
Recycled PET,9,11,9,87,4.92,0.58
Bamboo Fiber Packaging,9,4,7,72,2.54,1.09
Bamboo Fiber Packaging,6,16,5,71,3.53,0.61
Recycled PET,5,19,7,99,2.72,1.18
Bamboo Fiber Packaging,8,3,7,61,4.8,0.88
Biodegradable Plastic,6,11,6,67,4.94,0.41
Seaweed Packaging,7,6,8,68,4.44,0.43
Bagasse Fiber,5,10,9,67,2.94,0.52
Paper Foam,7,15,7,62,3.21,0.55
Kraft Paper,5,6,9,68,2.73,1.01
Biodegradable Plastic,8,11,6,72,4.67,0.58
Corrugated Board,8,11,5,68,4.74,1.18
Biodegradable Plastic,9,14,7,90,3.26,0.91
Bagasse Fiber,7,12,8,84,3.97,0.95
Corrugated Board,5,13,6,67,2.5,0.57
Kraft Paper,8,9,9,90,3.3,1.11
Bagasse Fiber,6,11,5,90,3.89,0.93
Molded Pulp,8,8,9,76,3.16,1.09
Paper Foam,6,18,8,78,3.07,1.17
Kraft Paper,5,17,7,62,2,0.5
Seaweed Packaging,8,9,8,89,4.41,0.48
Bamboo Fiber Packaging,8,18,9,69,4.67,1.04
Molded Pulp,5,7,9,88,4.91,1.09
Honeycomb Paperboard,8,18,8,99,4.16,0.87
Kraft Paper,6,3,8,77,3.65,0.69
Honeycomb Paperboard,8,7,8,71,2.81,0.92
Corrugated Board,7,9,5,82,5,0.64
Molded Pulp,9,7,9,70,3.77,0.59
Paper Foam,6,19,6,68,4.04,0.79
Seaweed Packaging,7,10,5,83,4.05,0.57
Recycled PET,5,3,5,84,4.54,0.79
Seaweed Packaging,6,4,5,84,2.03,1.17
Bagasse Fiber,9,17,6,68,2.66,1.07
Seaweed Packaging,9,13,8,71,4,1.15
Mycelium Packaging,5,12,9,70,4.69,1.05
Cornstarch Packaging,5,6,7,97,4.06,0.68
Recycled PET,6,7,7,87,3.24,1.05
Biodegradable Plastic,8,6,9,67,3.08,1.14
Bamboo Fiber Packaging,5,15,6,69,4.21,1.16
Recycled Cardboard,8,15,7,84,4.22,0.95
Paper Foam,7,4,5,95,3.82,0.57
Molded Pulp,9,18,7,68,2.87,0.43
Cornstarch Packaging,8,3,9,67,4.78,0.52
Paper Foam,9,11,5,62,3.66,1.17
Molded Pulp,8,5,7,77,4.37,0.77
Bamboo Fiber Packaging,7,9,9,94,2.64,1.08
Recycled Paper Wrap,5,12,6,76,3.03,0.77
Recycled Paper Wrap,7,3,9,95,4.62,0.93
Honeycomb Paperboard,5,12,6,87,2.15,0.42
Paper Foam,5,11,5,74,3.54,0.6
Recycled Paper Wrap,9,17,9,78,3.45,0.75
Mycelium Packaging,7,17,8,81,4.25,0.9
Recycled PET,8,5,8,65,2.85,0.54
Molded Pulp,7,7,8,66,2.66,1.01
Honeycomb Paperboard,9,11,8,68,4.78,0.69
Seaweed Packaging,5,11,8,79,3.72,1.05
Molded Pulp,9,9,6,96,2.31,0.48
Honeycomb Paperboard,6,14,9,70,2.58,0.94
Bamboo Fiber Packaging,6,11,5,61,5,0.63
Paper Foam,8,8,8,81,2.59,1.04
Bamboo Fiber Packaging,9,4,8,95,3.83,0.72
Recycled PET,8,11,5,64,3.26,0.93
Recycled PET,8,19,5,66,4.66,1.15
Cornstarch Packaging,6,3,8,65,4.27,0.42
Bamboo Fiber Packaging,8,8,6,81,3.79,0.41
Bagasse Fiber,6,7,5,69,2.03,1.02
Seaweed Packaging,5,4,9,99,4.64,0.92
Kraft Paper,9,11,9,79,3.33,0.63
Bamboo Fiber Packaging,8,16,6,87,4.79,0.8
Cornstarch Packaging,6,6,7,82,3.49,0.43
Corrugated Board,7,6,6,94,4.08,0.55
Mycelium Packaging,8,17,8,60,2.21,0.74
Molded Pulp,5,10,7,88,4.24,1.07
Recycled PET,5,6,8,68,3.01,0.78
Corrugated Board,7,18,9,68,3.05,0.87
Cornstarch Packaging,6,6,5,81,2.36,1.1
Honeycomb Paperboard,8,18,8,61,2.44,0.65
Kraft Paper,6,14,9,75,2.56,0.96
Seaweed Packaging,5,18,6,99,2.98,1.09
Seaweed Packaging,6,10,8,65,4.68,0.56
Seaweed Packaging,5,8,9,72,3.1,0.69
Mycelium Packaging,6,12,5,92,4.17,1.18
Kraft Paper,7,7,8,78,2.25,1.19
Mycelium Packaging,9,12,9,74,3.77,0.58
Recycled PET,7,12,8,92,3.45,0.45
Mycelium Packaging,7,9,5,69,4.93,0.62
Recycled Cardboard,9,3,8,60,4.54,0.72
Kraft Paper,9,9,8,71,3.36,0.75
Bagasse Fiber,8,3,9,88,4.33,0.9
Kraft Paper,8,17,7,76,2.58,1.12
Cornstarch Packaging,7,6,8,63,3.69,0.66
Recycled Cardboard,7,12,7,88,2.22,1.08
Seaweed Packaging,5,11,6,66,3.04,0.47
Cornstarch Packaging,5,4,8,72,2.68,0.43
Cornstarch Packaging,8,16,7,64,4.16,0.8
Recycled PET,8,18,6,65,3.47,0.45
PLA Bioplastic,5,3,9,93,4.25,0.71
Biodegradable Plastic,5,4,8,66,3.55,1.12
Recycled Cardboard,6,9,9,87,2.26,0.59
Cornstarch Packaging,6,12,6,69,4.21,0.96
Biodegradable Plastic,5,3,9,63,4.5,0.64
Biodegradable Plastic,6,15,9,62,4.71,0.44
Recycled Cardboard,9,3,5,84,3.72,0.85
PLA Bioplastic,8,7,6,82,4.26,1.07
Corrugated Board,8,18,9,86,4.26,0.73
Honeycomb Paperboard,5,17,7,73,2.47,0.89
Bagasse Fiber,7,19,6,97,2.49,1.12
Honeycomb Paperboard,5,18,5,91,2.21,1.03
Kraft Paper,6,15,8,82,2.96,0.56
Seaweed Packaging,7,13,9,99,3.42,0.99
Bagasse Fiber,6,19,7,96,4.99,0.8
Kraft Paper,9,19,5,62,3.29,1
Cornstarch Packaging,6,4,6,94,4.18,0.8
Seaweed Packaging,9,15,9,72,4.08,0.5
Molded Pulp,9,16,5,93,2.61,0.86
Recycled Cardboard,6,13,5,83,2.18,0.79
Bagasse Fiber,6,12,7,60,3.64,0.81
Bagasse Fiber,9,5,8,71,4.1,1.1
Bamboo Fiber Packaging,7,19,8,67,4.99,1.12
Cornstarch Packaging,9,17,8,78,3.08,0.76
Corrugated Board,8,11,6,68,4.69,0.76
Biodegradable Plastic,9,12,5,87,3.15,0.81
Seaweed Packaging,7,10,6,73,4.07,0.82
Cornstarch Packaging,8,15,5,86,3.79,1.16
Recycled Paper Wrap,5,7,7,77,2.16,0.92
PLA Bioplastic,5,8,7,65,2.24,0.62
Biodegradable Plastic,7,19,6,92,2.06,0.83
Recycled Cardboard,9,13,6,96,3.11,0.9
Biodegradable Plastic,6,18,7,84,4.24,0.91
Corrugated Board,7,11,9,72,2.52,0.87
Recycled PET,8,4,8,82,3.82,0.54
Bamboo Fiber Packaging,8,7,8,95,2.87,0.43
Biodegradable Plastic,5,3,7,92,4.39,0.67
Recycled Cardboard,8,6,8,80,4.4,0.74
Corrugated Board,7,6,9,93,4.33,0.45
Honeycomb Paperboard,8,5,9,95,3.57,1.05
Bagasse Fiber,7,11,5,76,2.85,0.68
Recycled PET,6,14,6,69,4.43,1.13
Bamboo Fiber Packaging,5,12,8,82,2.56,0.52
Bagasse Fiber,8,4,9,61,2.87,0.45
PLA Bioplastic,7,13,6,94,2.55,0.79
Kraft Paper,9,12,6,73,4.02,0.55
Recycled PET,5,8,5,61,4.06,1.15
Recycled PET,6,4,6,78,3.96,0.41
Honeycomb Paperboard,7,4,6,75,3.25,0.73
Honeycomb Paperboard,6,12,7,84,2.3,1.14
